CALENDARIO;GIORNO
05/12/2023;Martedì
06/12/2023;Mercoledì
07/12/2023;Giovedì
08/12/2023;Venerdì
09/12/2023;Sabato
10/12/2023;Domenica
11/12/2023;Lunedì
12/12/2023;Martedì
13/12/2023;Mercoledì
14/12/2023;Giovedì
15/12/2023;Venerdì
16/12/2023;Sabato
17/12/2023;Domenica
18/12/2023;Lunedì
19/12/2023;Martedì
20/12/2023;Mercoledì
21/12/2023;Giovedì
22/12/2023;Venerdì
23/12/2023;Sabato
24/12/2023;Domenica
25/12/2023;Lunedì
26/12/2023;Martedì
27/12/2023;Mercoledì
28/12/2023;Giovedì
29/12/2023;Venerdì
30/12/2023;Sabato
31/12/2023;Domenica
01/01/2024;Lunedì
02/01/2024;Martedì
03/01/2024;Mercoledì
04/01/2024;Giovedì
05/01/2024;Venerdì
06/01/2024;Sabato
07/01/2024;Domenica
08/01/2024;Lunedì
09/01/2024;Martedì
10/01/2024;Mercoledì
11/01/2024;Giovedì
12/01/2024;Venerdì
13/01/2024;Sabato
14/01/2024;Domenica
15/01/2024;Lunedì
16/01/2024;Martedì
17/01/2024;Mercoledì
18/01/2024;Giovedì
19/01/2024;Venerdì
20/01/2024;Sabato
21/01/2024;Domenica
22/01/2024;Lunedì
23/01/2024;Martedì
24/01/2024;Mercoledì
25/01/2024;Giovedì
26/01/2024;Venerdì
27/01/2024;Sabato
28/01/2024;Domenica
29/01/2024;Lunedì
30/01/2024;Martedì
31/01/2024;Mercoledì
01/02/2024;Giovedì
02/02/2024;Venerdì
03/02/2024;Sabato
04/02/2024;Domenica
05/02/2024;Lunedì
06/02/2024;Martedì
07/02/2024;Mercoledì
08/02/2024;Giovedì
09/02/2024;Venerdì
10/02/2024;Sabato
11/02/2024;Domenica
12/02/2024;Lunedì
13/02/2024;Martedì
14/02/2024;Mercoledì
15/02/2024;Giovedì
16/02/2024;Venerdì
17/02/2024;Sabato
18/02/2024;Domenica
19/02/2024;Lunedì
20/02/2024;Martedì
21/02/2024;Mercoledì
22/02/2024;Giovedì
23/02/2024;Venerdì
24/02/2024;Sabato
25/02/2024;Domenica
26/02/2024;Lunedì
27/02/2024;Martedì
28/02/2024;Mercoledì
29/02/2024;Giovedì
01/03/2024;Venerdì
02/03/2024;Sabato
03/03/2024;Domenica
04/03/2024;Lunedì
05/03/2024;Martedì
06/03/2024;Mercoledì
07/03/2024;Giovedì
08/03/2024;Venerdì
09/03/2024;Sabato
10/03/2024;Domenica
11/03/2024;Lunedì
