GIORNI;SETTIMANA;ARGOMENTO
05/12/2023;1;Fundamentals
06/12/2023;1;Fundamentals
07/12/2023;1;Fundamentals
08/12/2023;;Festivo
09/12/2023;1;Fundamentals
10/12/2023;1;Fundamentals
11/12/2023;1;Fundamentals
12/12/2023;2;Imparare cosa sono i dati con EXCEL
13/12/2023;2;Imparare cosa sono i dati con EXCEL
14/12/2023;2;Imparare cosa sono i dati con EXCEL
15/12/2023;2;Imparare cosa sono i dati con EXCEL
16/12/2023;2;Imparare cosa sono i dati con EXCEL
17/12/2023;2;Imparare cosa sono i dati con EXCEL
18/12/2023;2;Imparare cosa sono i dati con EXCEL
19/12/2023;3;I data base ed il linguaggio SQL
20/12/2023;3;I data base ed il linguaggio SQL
21/12/2023;3;I data base ed il linguaggio SQL
22/12/2023;3;I data base ed il linguaggio SQL
23/12/2023;;Pausa
24/12/2023;;Pausa
25/12/2023;;Pausa
26/12/2023;;Pausa
27/12/2023;;Pausa
28/12/2023;;Pausa
29/12/2023;;Pausa
30/12/2023;;Pausa
31/12/2023;;Pausa
01/01/2024;;Pausa
02/01/2024;;Pausa
03/01/2024;;Pausa
04/01/2024;;Pausa
05/01/2024;;Pausa
06/01/2024;;Pausa
07/01/2024;;Pausa
08/01/2024;3;I data base ed il linguaggio SQL
09/01/2024;4;Build Week 1
10/01/2024;4;Build Week 1
11/01/2024;4;Build Week 1
12/01/2024;4;Build Week 1
13/01/2024;4;Build Week 1
14/01/2024;4;Build Week 1
15/01/2024;4;Build Week 1
16/01/2024;5;Introduzione a Python
17/01/2024;5;Introduzione a Python
18/01/2024;5;Introduzione a Python
19/01/2024;5;Introduzione a Python
20/01/2024;5;Introduzione a Python
21/01/2024;5;Introduzione a Python
22/01/2024;5;Introduzione a Python
23/01/2024;6;Python e shell
24/01/2024;6;Python e shell
25/01/2024;6;Python e shell
26/01/2024;6;Python e shell
27/01/2024;6;Python e shell
28/01/2024;6;Python e shell
29/01/2024;6;Python e shell
30/01/2024;7;CSV, Scraping
31/01/2024;7;CSV, Scraping
01/02/2024;7;CSV, Scraping
02/02/2024;7;CSV, Scraping
03/02/2024;7;CSV, Scraping
04/02/2024;7;CSV, Scraping
05/02/2024;7;CSV, Scraping
06/02/2024;8;Build Week 2
07/02/2024;8;Build Week 2
08/02/2024;8;Build Week 2
09/02/2024;8;Build Week 2
10/02/2024;8;Build Week 2
11/02/2024;8;Build Week 2
12/02/2024;8;Build Week 2
13/02/2024;9;POWERBI - Base
14/02/2024;9;POWERBI - Base
15/02/2024;9;POWERBI - Base
16/02/2024;9;POWERBI - Base
17/02/2024;9;POWERBI - Base
18/02/2024;9;POWERBI - Base
19/02/2024;9;POWERBI - Base
20/02/2024;10;POWERBI - Avanzato
21/02/2024;10;POWERBI - Avanzato
22/02/2024;10;POWERBI - Avanzato
23/02/2024;10;POWERBI - Avanzato
24/02/2024;10;POWERBI - Avanzato
25/02/2024;10;POWERBI - Avanzato
26/02/2024;10;POWERBI - Avanzato
27/02/2024;11;Google Looker Studio
28/02/2024;11;Google Looker Studio
29/02/2024;11;Google Looker Studio
01/03/2024;11;Google Looker Studio
02/03/2024;11;Google Looker Studio
03/03/2024;11;Google Looker Studio
04/03/2024;11;Google Looker Studio
05/03/2024;12;Build Week 3
06/03/2024;12;Build Week 3
07/03/2024;12;Build Week 3
08/03/2024;12;Build Week 3
09/03/2024;12;Build Week 3
10/03/2024;12;Build Week 3
11/03/2024;12;Build Week 3
